year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,,,,,,
2004,,,,,,,
2005,,,,,,,
2006,,,,,,,
2007,,,,,,,
2008,,,,,,,
2009,,,,,,,
2010,,0.0,0.0,0.0,0.0,0.0,941884.0
2011,,0.0,0.0,0.0,0.0,0.0,839035.0
2012,,0.0,0.0,0.0,0.0,0.0,847440.0
2013,,0.0,0.0,0.0,0.0,932365.0,104140.0
2014,start of forecast,0.0,0.0,0.0,0.0,799494.0,88506.0
2015,,0.0,0.0,0.0,0.0,799494.0,82506.0
2016,,0.0,0.0,0.0,0.0,799494.0,77506.0
2017,,0.0,0.0,0.0,0.0,799494.0,71506.0
2018,,0.0,0.0,0.0,0.0,799494.0,60506.0
2019,,0.0,0.0,0.0,0.0,799494.0,42506.0
2020,,0.0,0.0,0.0,0.0,799494.0,25506.0
2021,,0.0,0.0,0.0,0.0,799494.0,9506.0
2022,,0.0,0.0,0.0,0.0,791000.0,0.0
2023,,0.0,0.0,0.0,0.0,774000.0,0.0
2024,,0.0,0.0,0.0,0.0,755000.0,0.0
2025,,0.0,0.0,0.0,0.0,736000.0,0.0
2026,,0.0,0.0,0.0,0.0,716000.0,0.0
2027,,0.0,0.0,0.0,0.0,697000.0,0.0
2028,,0.0,0.0,0.0,0.0,679000.0,0.0
2029,,0.0,0.0,0.0,0.0,650000.0,0.0
2030,,0.0,0.0,0.0,0.0,624000.0,0.0
2031,,0.0,0.0,0.0,0.0,604000.0,0.0
2032,,0.0,0.0,0.0,0.0,591000.0,0.0
2033,,0.0,0.0,0.0,0.0,581000.0,0.0
2034,,0.0,0.0,0.0,0.0,571000.0,0.0
2035,,0.0,0.0,0.0,0.0,560000.0,0.0
2036,,0.0,0.0,0.0,0.0,549000.0,0.0
2037,,0.0,0.0,0.0,0.0,537000.0,0.0
2038,,0.0,0.0,0.0,0.0,527000.0,0.0
2039,,0.0,0.0,0.0,0.0,520000.0,0.0
2040,,0.0,0.0,0.0,0.0,515000.0,0.0
