year,Base case cost,Modeled biomass for heat (cordwood)
2017,113350.463803,133316.667677
2018,120722.623803,138767.749394
2019,130859.343803,146262.986754
2020,135697.323803,149840.259131
2021,138922.643803,152225.107382
2022,141456.823803,154098.916723
2023,143299.863803,155461.687152
2024,144682.143803,156483.764974
2025,146294.803803,157676.189099
2026,148368.223803,159209.305832
2027,150211.263803,160572.076261
2028,151593.543803,161594.154083
2029,153436.583803,162956.924513
2030,154588.483803,163808.656031
2031,156661.903803,165341.772764
2032,,
2033,,
2034,,
2035,,
2036,,
