year,Base case cost,Loud creek hydro_akutan,Akutan (north creek),"Akutan (unnamed stream, site #1) -- unnamed creek, 1","Akutan (unnamed stream, site #2) -- unnamed creek, 2",Loud creek (akutan)
2021,95437.8201369,533199.098412,221053.584637,1412292.76681,144347.049691,1254089.11727
2022,98146.9783969,521674.40575,215799.771381,1380428.7833,141753.147268,1228811.31462
2023,100340.206964,510831.207622,211047.900734,1350199.08377,139424.06897,1204507.94421
2024,101929.783198,499945.843866,206101.446586,1320522.65142,136791.837381,1180469.16868
2025,104115.944768,489582.755008,201551.903473,1291606.81035,134576.470197,1157273.43217
2026,106230.860402,479068.468699,196729.015517,1262768.43414,132108.737641,1134239.99615
2027,108409.954974,469162.921096,192372.09992,1235105.26083,130001.48663,1112100.25601
2028,109958.895972,459166.399237,187784.511583,1207908.36939,127559.05076,1090147.56829
2029,112402.426994,449653.362453,183579.345688,1181222.38287,125586.689417,1068981.79201
2030,113660.430302,440113.613467,179189.929867,1155396.39898,123199.982513,1048032.5099
2031,115986.779903,430590.943192,174746.073281,1129250.32619,120975.804163,1027412.11336
2032,118295.46201,421254.486185,170372.179735,1103639.38641,118784.503338,1007240.54591
2033,120983.995237,412496.98238,166463.713907,1078948.14139,117022.413947,987904.392156
2034,123534.146052,403480.521904,162197.306589,1054157.0806,114930.751735,968570.454104
2035,124996.516329,394826.201317,158137.251835,1030747.57831,112755.958587,949800.347997
2036,127511.332155,386149.713043,153996.821314,1006938.78716,110722.00552,931289.809855
2037,128680.114618,377883.326186,150103.840072,984718.077961,108583.88199,913369.013108
2038,131598.632682,369968.461127,146520.950759,962283.45285,107042.364997,896081.130964
2039,133540.406875,361879.566721,142641.803913,940317.57574,105045.705364,878820.219695
2040,136256.939547,353789.046259,138700.511437,918117.846766,103147.432281,861807.079739
2041,135800.234828,346470.107375,135294.331539,899054.940459,100989.479498,845648.997258
2042,135800.234828,339768.706662,132413.984614,880884.821283,99328.104395,830315.620167
2043,135343.530108,332767.665665,129144.441255,862683.860521,97248.9631403,814884.915198
2044,134886.825389,325920.007492,125940.823776,844898.780603,95207.8477276,799805.163227
2045,134430.12067,319222.137406,122801.587114,827519.834793,93203.8669693,785068.139191
2046,134430.12067,313127.249088,120181.926901,810994.208009,91692.8551466,771122.514252
2047,133973.415951,306718.505227,117166.960354,794399.196513,89760.5530018,757047.035708
2048,133516.711232,300449.262131,114211.953003,778182.426166,87862.8351337,743290.746826
2049,133060.006513,294316.250316,111315.499582,762335.032122,85998.8909898,729846.166749
2050,133060.006513,288772.981829,108932.932561,747305.062516,84624.633779,717162.695089
