year,Base case diesel consumed,Modeled residential ashp
2017,1815.04809777,-10536.6181814
2018,1815.04809777,-10536.6181814
2019,1724.93848479,-10626.7277943
2020,1724.93848479,-10626.7277943
2021,1724.93848479,-10626.7277943
2022,1634.82887182,-10716.8374073
2023,1634.82887182,-10716.8374073
2024,1544.71925884,-10806.9470203
2025,1544.71925884,-10806.9470203
2026,1454.60964587,-10897.0566332
2027,1454.60964587,-10897.0566332
2028,1364.5000329,-10987.1662462
2029,1274.39041992,-11077.2758592
2030,1274.39041992,-11077.2758592
2031,1184.28080695,-11167.3854722
