year,Base case cost,Koyuk wind phase ii feasibility,Modeled wind power
2019,264284.299655,462814.915992,470780.003957
2020,280571.235211,476112.147635,483030.83923
2021,291146.931805,484753.329931,490994.941523
2022,298767.9638,490967.442437,496716.632207
2023,304419.703132,495563.992152,500943.865557
2024,308106.503433,498547.332709,503680.995204
2025,313742.27945,503127.919109,507892.265238
2026,320346.012877,508500.597984,512834.075018
2027,326206.000917,513305.396407,517269.557076
2028,330843.344103,517063.414912,520719.811943
2029,336448.644698,521613.525892,524900.606557
2030,340096.262316,524557.683765,527598.553519
2031,346917.677319,530148.044216,532758.044877
2032,353739.092323,535738.404666,537917.536234
2033,360560.507326,541328.765117,543077.027591
2034,368356.410187,547717.748489,548973.589143
2035,373228.849476,551710.863097,552658.940112
2036,380333.250529,557584.209597,558101.417519
2037,385209.317843,561580.952231,561790.396515
2038,392035.812083,567176.391919,566954.967109
