year,Base case diesel consumed,Modeled transmission and interties
2021,32739.1761603,0.0
2022,32739.1761603,0.0
2023,32739.1761603,0.0
2024,32739.1761603,0.0
2025,32739.1761603,0.0
2026,32824.4344315,0.0
2027,32824.4344315,0.0
2028,32824.4344315,0.0
2029,32824.4344315,0.0
2030,32824.4344315,0.0
2031,32824.4344315,0.0
2032,32824.4344315,0.0
2033,32824.4344315,0.0
2034,32824.4344315,0.0
2035,32824.4344315,0.0
2036,32824.4344315,0.0
2037,32824.4344315,0.0
2038,32824.4344315,0.0
2039,32824.4344315,0.0
2040,32824.4344315,0.0
