year,Base case cost,Modeled residential energy efficiency
2017,336713.665931,303965.307687
2018,352417.975343,317039.534216
2019,387823.335097,348819.644592
2020,398378.096739,357668.406525
2021,405854.386235,363936.279562
2022,411571.548791,368729.358943
2023,415089.802671,371678.946254
2024,418168.274817,374259.835151
2025,422126.310432,377578.120876
2026,426524.127783,381265.105015
2027,445729.113807,399830.341149
2028,448914.972533,402518.616627
2029,453466.199286,406359.010168
2030,456196.935337,408663.246292
2031,460748.162089,412503.639833
2032,465754.511516,416728.072727
2033,470760.860944,420952.505622
2034,475767.210371,425176.938516
2035,478953.069097,427865.213995
2036,484414.5412,432473.686243
