year,Base case cost,Modeled transmission and interties
2021,145689.333913,2123274.88142
2022,149945.426814,2127422.47082
2023,152564.560907,2130165.7043
2024,154856.303238,2132566.0336
2025,157802.829093,2135652.17126
2026,161496.217403,2139524.08823
2027,164450.416502,2142307.28999
2028,166748.126912,2144713.87014
2029,170030.570355,2148151.84179
2030,172000.036421,2149903.65205
2031,175282.479864,2153652.59642
2032,178893.167652,2157123.39251
2033,182503.855439,2160905.16132
2034,186114.543227,2164686.93013
2035,188412.253637,2167093.51029
2036,192351.185769,2170908.10353
2037,194320.651835,2172970.88652
2038,198259.583966,2176785.47977
2039,201213.783065,2179879.65425
2040,205152.715197,2184005.22023
