year,Base case diesel consumed,Modeled residential ashp
2017,46292.8312222,22264.5383449
2018,46292.8312222,22264.5383449
2019,48262.8619244,24234.5690471
2020,48262.8619244,24234.5690471
2021,48262.8619244,24234.5690471
2022,48262.8619244,24234.5690471
2023,48262.8619244,24234.5690471
2024,48262.8619244,24234.5690471
2025,48262.8619244,24234.5690471
2026,48262.8619244,24234.5690471
2027,50232.8926266,26204.5997493
2028,50232.8926266,26204.5997493
2029,50232.8926266,26204.5997493
2030,50232.8926266,26204.5997493
2031,50232.8926266,26204.5997493
