year,Base case diesel consumed,Modeled residential ashp
2017,73413.7263878,10026.4117684
2018,73413.7263878,10026.4117684
2019,74445.4866618,11058.1720423
2020,75477.2469358,12089.9323163
2021,76509.0072098,13121.6925903
2022,77540.7674837,14153.4528643
2023,78572.5277577,15185.2131382
2024,79604.2880317,16216.9734122
2025,80636.0483057,17248.7336862
2026,81667.8085797,18280.4939602
2027,82699.5688536,19312.2542341
2028,83731.3291276,20344.0145081
2029,84763.0894016,21375.7747821
2030,85794.8496756,22407.5350561
2031,85794.8496756,22407.5350561
