year,Base case cost,Modeled water and wastewater efficiency
2017,38100.5773257,45138.0203193
2018,40318.4267945,46197.7203992
2019,43260.6818125,47755.4231278
2020,44974.1497593,48497.8041258
2021,46342.8429762,49018.0992334
2022,47378.7753552,49321.4878086
2023,48202.1182576,49490.7039308
2024,49069.4078226,49700.2584085
2025,50398.877343,50235.8712099
2026,51385.4073745,50542.8485412
2027,52295.6408473,50806.7276079
2028,53001.8702084,50940.4832615
2029,54025.2662054,51297.4544316
2030,54857.3518653,51533.7035334
2031,55904.224106,51922.2674931
