year,annotation,diesel generation efficiency
2002,,11.3
2003,,11.78
2004,,11.92
2005,,12.46
2006,,13.3
2007,,12.92
2008,,13.02
2009,,13.23
2010,,13.6
2011,,13.0
2012,,13.53
2013,,13.0
2014,,12.92
2015,,14.44
2016,start of forecast,13.45
2017,,13.45
2018,,13.45
2019,,13.45
2020,,13.45
2021,,13.45
2022,,13.45
2023,,13.45
2024,,13.45
2025,,13.45
2026,,13.45
2027,,13.45
2028,,13.45
2029,,13.45
2030,,13.45
2031,,13.45
2032,,13.45
2033,,13.45
2034,,13.45
2035,,13.45
2036,,13.45
2037,,13.45
2038,,13.45
2039,,13.45
2040,,13.45
