year,Base case diesel consumed,Modeled non-residential ashp
2017,6604.08024909,-7752.61595894
2018,6604.08024909,-7752.61595894
2019,6604.08024909,-7752.61595894
2020,6604.08024909,-7752.61595894
2021,6604.08024909,-7752.61595894
2022,6604.08024909,-7752.61595894
2023,6604.08024909,-7752.61595894
2024,6604.08024909,-7752.61595894
2025,6604.08024909,-7752.61595894
2026,6604.08024909,-7752.61595894
2027,6604.08024909,-7752.61595894
2028,6604.08024909,-7752.61595894
2029,6604.08024909,-7752.61595894
2030,6604.08024909,-7752.61595894
2031,6604.08024909,-7752.61595894
