year,Base case cost,Suryan lake (chip creek),"Akhiok (unnamed stream, site #2) -- unnamed creek, 2","Akhiok (unnamed stream, site #1) -- unnamed creek, 1",Fraser lake (dog salmon creek),Akhiok (kempff bay creek)
2021,64609.126831,327209.602696,478748.755208,680593.022174,12930311.9582,415409.583249
2022,67210.4403823,327698.613902,479071.257566,680808.099469,12929083.9694,415831.990916
2023,68849.7194161,327648.05106,478887.487645,680538.389498,12927659.8066,415728.145242
2024,70079.1786914,327610.128928,478749.660205,680336.107019,12926591.6845,415650.260986
2025,71513.5478459,327565.88644,478588.861524,680100.110794,12925345.542,415559.396022
2026,73357.7367588,327509.003242,478382.120363,679796.687076,12923743.3588,415442.569638
2027,74792.1059133,327464.760755,478221.321682,679560.690851,12922497.2164,415351.704674
2028,76021.5651886,327426.838623,478083.494242,679358.408373,12921429.0943,415273.820418
2029,77865.7541015,327369.955425,477876.753081,679054.984655,12919826.9111,415156.994035
2030,79558.8653916,328006.915543,478430.458774,679554.977817,12919605.3712,415760.652383
2031,81418.6830242,327965.661064,478239.346333,679267.182819,12918018.8168,415659.454719
2032,83278.5006567,327924.406586,478048.233892,678979.387821,12916432.2623,415558.257056
2033,85138.3182892,327883.152107,477857.12145,678691.592822,12914845.7079,415457.059392
2034,87204.7823254,327837.313798,477644.774293,678371.820602,12913082.8696,415344.617544
2035,88651.3071507,327805.226982,477496.131283,678147.980048,12911848.8828,415265.90825
2036,90717.7711868,327759.388672,477283.784126,677828.207828,12910086.0445,415153.466402
2037,91957.6496085,327731.885687,477156.375832,677636.344496,12909028.3416,415086.001292
2038,94024.1136446,327686.047377,476944.028675,677316.572276,12907265.5033,414973.559444
2039,95677.2848736,327649.37673,476774.150949,677060.754499,12905855.2327,414883.605965
2040,97950.3953133,327598.95459,476540.569076,676709.005057,12903916.1106,414759.919932
2041,97950.3953133,327598.95459,476540.569076,676709.005057,12903916.1106,414759.919932
2042,97127.2827477,326775.842024,475717.456511,675885.892492,12903092.998,413936.807366
2043,97127.2827477,326775.842024,475717.456511,675885.892492,12903092.998,413936.807366
2044,97127.2827477,326775.842024,475717.456511,675885.892492,12903092.998,413936.807366
2045,97127.2827477,326775.842024,475717.456511,675885.892492,12903092.998,413936.807366
2046,97127.2827477,326775.842024,475717.456511,675885.892492,12903092.998,413936.807366
2047,97127.2827477,326775.842024,475717.456511,675885.892492,12903092.998,413936.807366
2048,97127.2827477,326775.842024,475717.456511,675885.892492,12903092.998,413936.807366
2049,96304.170182,325952.729458,474894.343945,675062.779926,12902269.8854,413113.694801
2050,96304.170182,325952.729458,474894.343945,675062.779926,12902269.8854,413113.694801
