year,Base case cost,Modeled residential energy efficiency
2017,101478.927434,104753.702824
2018,113143.514162,114937.722087
2019,129473.935582,129195.349055
2020,137250.326734,135984.695231
2021,142693.80054,140737.237553
2022,154834.932848,152384.847373
2023,158118.755603,155273.852137
2024,160581.622669,157440.60571
2025,163454.967579,159968.484879
2026,167149.268178,163218.615238
2027,170022.613088,165746.494406
2028,172485.480154,167913.247979
2029,176179.780753,171163.378339
2030,187719.62905,182456.465391
2031,191608.854229,185901.520331
2032,195498.079408,189346.575271
2033,199387.304588,192791.630211
2034,203708.665898,196619.469033
2035,206733.618815,199298.956208
2036,211054.980126,203126.79503
