year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,3.25
2001,,,3.25
2004,,2.89,4.09
2005,,3.14,4.09
2013,,6.29,9.99
2014,,,9.49
2016,start of forecast,4.96,7.69
2017,,5.66,8.39
2018,,6.16,8.89
2019,,6.82,9.55
2020,,7.13,9.86
2021,,7.33,10.06
2022,,7.49,10.22
2023,,7.6,10.33
2024,,7.68,10.41
2025,,7.79,10.52
2026,,7.91,10.64
2027,,8.02,10.75
2028,,8.11,10.84
2029,,8.22,10.95
2030,,8.29,11.02
2031,,8.42,11.15
2032,,8.54,11.27
2033,,8.67,11.4
2034,,8.8,11.53
2035,,8.89,11.62
2036,,9.02,11.75
2037,,9.1,11.83
2038,,9.23,11.96
2039,,9.33,12.06
2040,,9.48,12.21
