year,Base case diesel consumed,Modeled wind power
2019,74430.2445906,55067.8144542
2020,74981.5797357,55619.1495993
2021,75532.9148808,56170.4847444
2022,76084.2500259,56721.8198895
2023,76635.585171,57273.1550346
2024,77265.6824797,57903.2523433
2025,77817.0176248,58454.5874885
2026,78447.1149335,59084.6847972
2027,79077.2122422,59714.7821059
2028,79707.3095509,60344.8794146
2029,80337.4068596,60974.9767233
2030,80967.5041684,61605.074032
2031,81597.6014771,62235.1713407
2032,82306.4609493,62944.030813
2033,82936.558258,63574.1281217
2034,83645.4177303,64282.987594
2035,84354.2772026,64991.8470662
2036,85141.8988385,65779.4687021
2037,85850.7583108,66488.3281744
2038,86638.3799467,67275.9498103
