year,Base case cost,Modeled solar power (pv)
2016,155741.151792,163882.382289
2017,186985.314466,194450.961401
2018,211293.681014,218209.580021
2019,243386.899811,249651.560729
2020,259436.265885,265306.861478
2021,271918.493571,277458.415258
2022,281511.725096,286771.92938
2023,288916.156095,293935.539451
2024,295927.563897,300722.552165
2025,303486.368737,308051.622332
2026,312219.517435,316549.835182
2027,320262.709581,324374.070227
2028,327597.042254,331505.054989
2029,336613.734742,340302.584376
2030,343302.217674,346807.832991
2031,352501.638381,355797.966225
2032,362971.492787,366053.327024
2033,372385.146579,375267.471784
2034,383932.467382,386600.084359
2035,391403.84622,393910.999658
