year,Base case diesel consumed,Modeled residential ashp
2017,5461.40691796,-25559.0393617
2018,5606.49283162,-25413.953448
2019,5751.57874528,-25268.8675344
2020,5896.66465894,-25123.7816207
2021,6041.75057259,-24978.695707
2022,6331.92239991,-24688.5238797
2023,6477.00831357,-24543.4379661
2024,6622.09422723,-24398.3520524
2025,6912.26605455,-24108.1802251
2026,7057.3519682,-23963.0943114
2027,7202.43788186,-23818.0083978
2028,7492.60970918,-23527.8365705
2029,7637.69562284,-23382.7506568
2030,7927.86745016,-23092.5788295
2031,8072.95336381,-22947.4929158
