year,Base case cost,Modeled residential energy efficiency
2017,304181.170967,310786.436815
2018,328925.484038,331855.385388
2019,360245.218426,358746.920433
2020,379645.650063,375468.505137
2021,396523.395606,390086.433263
2022,420045.789953,411689.169704
2023,433285.449518,423270.476259
2024,446051.691507,434482.615528
2025,468646.560814,455470.592625
2026,483202.461628,468366.215867
2027,497259.011831,480864.950782
2028,520054.722502,502204.740109
2029,535297.848773,515858.639664
2030,557918.371785,537147.162587
2031,573641.259225,551325.458477
