year,Base case cost,Modeled water and wastewater efficiency
2017,85344.6299839,60903.7505676
2018,92241.7627655,65498.3786722
2019,101136.861305,71447.9942253
2020,106244.694675,74815.960764
2021,110549.876615,77635.9554764
2022,114211.127059,80016.6651803
2023,117393.661454,82070.9838173
2024,120460.378141,84045.7722464
2025,123792.073785,86199.4961599
2026,127392.746906,88534.7106894
2027,130866.245889,90782.9199974
2028,134210.192568,92942.5636415
2029,138082.6782,95457.8182555
2030,141401.172079,97597.6288414
2031,145449.88688,100229.53247
