year,Base case cost,Modeled non-residential energy efficiency
2017,1804915.28329,1839618.8651
2018,1914847.2828,1938619.34485
2019,2068085.82757,2076620.01358
2020,2138042.55452,2139620.31887
2021,2188011.64521,2184620.53693
2022,2224655.64505,2217620.69685
2023,2247974.55403,2238620.79861
2024,2271293.46302,2259620.90038
2025,2294612.372,2280621.00214
2026,2324593.82642,2307621.13298
2027,2351244.00811,2331621.24928
2028,2374562.9171,2352621.35104
2029,2401213.0988,2376621.46734
2030,2417869.46236,2391621.54003
2031,2451182.18948,2421621.68541
