year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,12273.35,1023431.12,937754.84,18848.59,781484.16,480486.21
2018,13164.73,1091110.87,1008993.94,20043.87,823736.41,515247.12
2019,14391.4,1185452.35,1110523.43,21669.65,882633.48,564634.67
2020,15007.36,1228521.29,1167578.24,22531.51,909521.27,591532.47
2021,15480.29,1259284.81,1224292.03,23216.93,928726.83,617226.04
2022,15858.83,1281844.73,1267271.6,23786.91,942810.92,636638.42
2023,16141.63,1296201.04,1312428.21,24239.08,951773.51,656220.79
2024,16429.31,1310557.35,1358200.81,24700.99,960736.11,676057.98
2025,16721.15,1324913.66,1404589.41,25171.05,969698.71,696150.0
2026,17068.65,1343371.78,1455322.04,25715.06,981222.05,718371.6
2027,17394.36,1359778.99,1504938.64,26233.7,991465.02,739965.26
2028,17698.23,1374135.3,1553307.22,26727.01,1000427.61,760876.35
2029,18035.06,1390542.52,1604287.82,27267.66,1010670.58,783034.25
2030,18296.58,1400797.03,1649852.35,27713.5,1017072.44,802452.8
2031,18696.74,1421306.04,1706276.97,28342.92,1029876.15,827195.34
2032,,,1770558.67,,,854956.42
2033,,,1828809.27,,,880454.32
2034,,,1887939.86,,,906316.26
2035,,,1948257.49,,,931938.65
2036,,,2018583.18,,,962366.27
