year,Base case diesel consumed,Modeled solar power
2020,47378.5609149,46655.5510949
2021,47296.4490242,46579.2232828
2022,47214.3371336,46502.8491981
2023,47132.2252429,46426.4292109
2024,47050.1133522,46349.9636885
2025,46968.0014616,46273.4529951
2026,46885.8895709,46196.8974922
2027,46803.7776802,46120.2975382
2028,46639.5538989,45961.541598
2029,46557.4420082,45884.8538057
2030,46475.3301176,45808.1226207
2031,46311.1063362,45649.2364993
2032,46228.9944456,45572.4195673
2033,46146.8825549,45495.5602757
2034,46064.7706642,45418.6589632
2035,45900.5468829,45259.6040755
2036,45818.4349922,45182.6197273
2037,45736.3231016,45105.5943588
2038,45654.2112109,45028.528298
2039,45572.0993202,44951.4218707
