year,Base case diesel consumed,Modeled diesel efficiency
2019,47460.6728056,43146.0661869
2020,47378.5609149,43071.4190136
2021,47296.4490242,42996.7718402
2022,47214.3371336,42922.1246669
2023,47132.2252429,42847.4774936
2024,47050.1133522,42772.8303202
2025,46968.0014616,42698.1831469
2026,46885.8895709,42623.5359736
2027,46803.7776802,42548.8888002
2028,46639.5538989,42399.5944536
2029,46557.4420082,42324.9472802
2030,46475.3301176,42250.3001069
2031,46311.1063362,42101.0057602
2032,46228.9944456,42026.3585869
2033,46146.8825549,41951.7114136
2034,46064.7706642,41877.0642402
2035,45900.5468829,41727.7698936
2036,45818.4349922,41653.1227202
2037,45736.3231016,41578.4755469
2038,45654.2112109,41503.8283736
