year,Base case diesel consumed,Bettles (jane creek)
2021,47296.4490242,8396.28139393
2022,47214.3371336,8314.16950326
2023,47132.2252429,8232.0576126
2024,47050.1133522,8149.94572193
2025,46968.0014616,8067.83383126
2026,46885.8895709,7985.7219406
2027,46803.7776802,7903.61004993
2028,46639.5538989,7739.38626859
2029,46557.4420082,7657.27437793
2030,46475.3301176,7575.16248726
2031,46311.1063362,7410.93870593
2032,46228.9944456,7328.82681526
2033,46146.8825549,7246.71492459
2034,46064.7706642,7164.60303392
2035,45900.5468829,7000.37925259
2036,45818.4349922,6918.26736192
2037,45736.3231016,6836.15547126
2038,45654.2112109,6754.04358059
2039,45572.0993202,6671.93168992
2040,45489.9874296,6589.81979925
2041,45407.8755389,6507.70790859
2042,45325.7636482,6425.59601792
2043,45243.6517576,6343.48412725
2044,45161.5398669,6261.37223659
2045,45079.4279762,6179.26034592
2046,44997.3160856,6097.14845525
2047,44915.2041949,6015.03656459
2048,44915.2041949,6015.03656459
2049,44833.0923042,5932.92467392
2050,44668.8685229,5768.70089258
2051,44668.8685229,5768.70089258
2052,44668.8685229,5768.70089258
2053,44668.8685229,5768.70089258
2054,44668.8685229,5768.70089258
2055,44668.8685229,5768.70089258
2056,44668.8685229,5768.70089258
2057,44668.8685229,5768.70089258
2058,44668.8685229,5768.70089258
2059,44668.8685229,5768.70089258
2060,44668.8685229,5768.70089258
2061,44668.8685229,5768.70089258
2062,44668.8685229,5768.70089258
2063,44668.8685229,5768.70089258
2064,44668.8685229,5768.70089258
2065,44668.8685229,5768.70089258
2066,44668.8685229,5768.70089258
2067,44668.8685229,5768.70089258
2068,44668.8685229,5768.70089258
2069,44668.8685229,5768.70089258
2070,44668.8685229,5768.70089258
