year,Base case cost,Modeled solar power
2020,147347.324445,151346.309204
2021,154186.423819,157965.193016
2022,158640.172769,162238.961394
2023,162134.854836,165571.778273
2024,164675.396733,167968.148382
2025,168145.445232,171283.521791
2026,172071.214725,175051.261915
2027,175046.128524,177885.386539
2028,177696.700355,180398.446113
2029,181108.449412,183669.163237
2030,183112.800663,185555.74345
2031,187096.869598,189391.803349
2032,190925.74706,193082.558946
2033,195201.313207,197216.637885
2034,199460.456976,201337.480771
2035,201503.400816,203270.882168
2036,205724.773115,207359.925741
2037,208557.633343,210082.37445
2038,212748.624243,214146.814434
2039,216011.750778,217298.678462
