year,Base case cost,Modeled diesel efficiency
2019,138110.557864,291963.615783
2020,147347.324445,296460.475607
2021,154186.423819,298869.048931
2022,158640.172769,299198.390383
2023,162134.854836,298743.029123
2024,164675.396733,297505.400777
2025,168145.445232,297195.916233
2026,172071.214725,297381.912745
2027,175046.128524,296782.781329
2028,177696.700355,295966.221692
2029,181108.449412,295917.254696
2030,183112.800663,294662.676356
2031,187096.869598,295279.951876
2032,190925.74706,295826.564672
2033,195201.313207,296848.028061
2034,199460.456976,297921.720182
2035,201503.400816,297046.269223
2036,205724.773115,298215.254786
2037,208557.633343,298184.502572
2038,212748.624243,299449.494587
