year,Base case cost,Modeled water and wastewater efficiency
2017,19634.7735792,16438.2805387
2018,21006.1758705,17276.2026891
2019,22828.7077273,18412.5069335
2020,23740.6800004,18950.7903163
2021,24349.6277949,19291.035142
2022,24853.7081979,19563.5455006
2023,25153.5520862,19702.9239634
2024,25399.6573906,19808.1878244
2025,25746.6878254,19981.2240515
2026,26144.3879509,20188.9244318
2027,26442.8893279,20332.6364295
2028,26741.6520536,20477.7655602
2029,27071.4452055,20643.9915936
2030,27253.6243824,20714.3265778
2031,27642.0393184,20921.7277004
