year,Base case diesel consumed,Modeled residential ashp
2017,1053.12469843,-2678.05837557
2018,1120.45531682,-2610.72775718
2019,1120.45531682,-2610.72775718
2020,1120.45531682,-2610.72775718
2021,1120.45531682,-2610.72775718
2022,1120.45531682,-2610.72775718
2023,1120.45531682,-2610.72775718
2024,1053.12469843,-2678.05837557
2025,1053.12469843,-2678.05837557
2026,1053.12469843,-2678.05837557
2027,1053.12469843,-2678.05837557
2028,1053.12469843,-2678.05837557
2029,985.794080035,-2745.38899397
2030,985.794080035,-2745.38899397
2031,918.46346164,-2812.71961236
