year,Base case cost,Modeled biomass for heat (cordwood)
2017,1735879.25352,2156864.8975
2018,1943821.65352,2310620.53125
2019,2229742.45352,2522034.52766
2020,2366204.65352,2622936.66231
2021,2457179.45352,2690204.75208
2022,2535157.85352,2747863.11474
2023,2580645.25352,2781497.15962
2024,2626132.65352,2815131.2045
2025,2671620.05352,2848765.24939
2026,2730103.85352,2892009.02138
2027,2782089.45352,2930447.92982
2028,2827576.85352,2964081.9747
2029,2886060.65352,3007325.7467
2030,2918551.65352,3031350.06447
2031,2983533.65352,3079398.70002
2032,,
2033,,
2034,,
2035,,
2036,,
