year,Base case diesel consumed,Modeled residential energy efficiency
2017,619651.783884,442598.35699
2018,635994.838108,458941.411214
2019,647137.829624,470084.40273
2020,659766.553342,482713.126448
2021,673881.009263,496827.582369
2022,685024.000779,507970.573885
2023,695424.126195,518370.699301
2024,704338.519408,527285.092514
2025,713995.778722,536942.351828
2026,725138.770238,548085.343344
2027,739253.226159,562199.799265
2028,754853.414281,577799.987387
2029,748167.619372,571114.192478
2030,747424.753271,570371.326377
2031,751881.949877,574828.522983
2032,774167.93291,597114.506016
2033,801653.97865,624600.551756
2034,829882.890491,652829.463597
2035,852911.739625,675858.312731
2036,868511.927748,691458.500854
