year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2007,,2600.63,287188.0,0.0,287188.0
2008,,2600.63,290249.0,0.0,290249.0
2009,start of forecast,2600.63,288000.0,1782.0,286218.0
2010,,2600.63,290000.0,1782.0,288218.0
2011,,2600.63,289000.0,1782.0,287218.0
2012,,2600.63,289000.0,1782.0,287218.0
2013,,2600.63,289000.0,1782.0,287218.0
2014,,2600.63,289000.0,1782.0,287218.0
2015,,2600.63,289000.0,1782.0,287218.0
2016,,2600.63,289000.0,1782.0,287218.0
2017,,2600.63,289000.0,1782.0,287218.0
2018,,2600.63,289000.0,1782.0,287218.0
2019,,2600.63,289000.0,1782.0,287218.0
2020,,2600.63,289000.0,1782.0,287218.0
2021,,2600.63,289000.0,1782.0,287218.0
2022,,2600.63,289000.0,1782.0,287218.0
2023,,2600.63,289000.0,1782.0,287218.0
2024,,2600.63,289000.0,1782.0,287218.0
2025,,2600.63,288000.0,1782.0,286218.0
2026,,2600.63,288000.0,1782.0,286218.0
2027,,2600.63,288000.0,1782.0,286218.0
2028,,2600.63,288000.0,1782.0,286218.0
2029,,2600.63,288000.0,1782.0,286218.0
2030,,2600.63,288000.0,1782.0,286218.0
2031,,2600.63,288000.0,1782.0,286218.0
2032,,2600.63,288000.0,1782.0,286218.0
2033,,2600.63,288000.0,1782.0,286218.0
2034,,2600.63,288000.0,1782.0,286218.0
2035,,2600.63,287000.0,1782.0,285218.0
2036,,2600.63,287000.0,1782.0,285218.0
2037,,2600.63,287000.0,1782.0,285218.0
2038,,2600.63,287000.0,1782.0,285218.0
2039,,2600.63,287000.0,1782.0,285218.0
2040,,2600.63,287000.0,1782.0,285218.0
