year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,246457.84,1513.64,205550.13,466863.61
2018,248943.62,1368.47,205550.13,483035.94
2019,251356.29,1220.09,205550.13,496512.89
2020,253842.07,1071.33,205550.13,509989.84
2021,256327.85,924.25,205550.13,526162.18
2022,258813.63,776.96,205550.13,539639.13
2023,261226.3,630.22,205550.13,553116.08
2024,263712.08,481.46,205550.13,569288.41
2025,266197.86,332.28,205550.13,582765.36
2026,268756.75,182.35,205550.13,598937.7
2027,271169.42,34.37,205550.13,612414.65
2028,273655.2,-112.3,205550.13,625891.6
2029,276360.31,-275.41,205550.13,642063.93
2030,279065.43,-434.52,205550.13,658236.27
2031,281624.32,-587.9,205550.13,671713.22
2032,283890.77,,,685190.17
2033,286157.21,,,698667.12
2034,288350.55,,,712144.07
2035,290543.89,,,725621.01
2036,292883.44,,,739097.96
