year,population
2003,959.0
2004,969.0
2005,984.0
2006,1010.0
2007,985.0
2008,947.0
2009,981.0
2010,957.0
2011,989.0
2012,1011.0
2013,1032.0
2014,1053.0
2015,1074.0
2016,1096.0
2017,1117.0
2018,1139.0
2019,1161.0
2020,1184.0
2021,1206.0
2022,1228.0
2023,1250.0
2024,1272.0
2025,1295.0
2026,1317.0
2027,1339.0
2028,1361.0
2029,1386.0
2030,1410.0
2031,1433.0
2032,1453.0
2033,1473.0
2034,1493.0
2035,1513.0
2036,1534.0
2037,1556.0
2038,1577.0
2039,1596.0
2040,1614.0
