year,Base case diesel consumed,Modeled diesel efficiency
2019,251356.285753,228505.714321
2020,253842.066357,230765.51487
2021,256327.846961,233025.315419
2022,258813.627564,235285.115968
2023,261226.296974,237478.451794
2024,263712.077578,239738.252343
2025,266197.858181,241998.052892
2026,268756.749979,244324.318163
2027,271169.419389,246517.65399
2028,273655.199992,248777.454539
2029,276360.314179,251236.649253
2030,279065.428365,253695.843968
2031,281624.320163,256022.109239
2032,283890.767184,258082.515622
2033,286157.214205,260142.922005
2034,288350.550032,262136.863666
2035,290543.885859,264130.805326
2036,292883.444074,266257.676431
2037,295296.113484,268451.012258
2038,297562.560505,270511.418641
