year,Base case cost,Modeled diesel efficiency
2019,708824.725824,992866.424847
2020,758987.778407,1038469.19992
2021,797179.604047,1073189.04141
2022,828203.608206,1101392.68156
2023,851597.728135,1122660.06331
2024,872886.976782,1142013.92572
2025,897086.782071,1164013.74871
2026,924523.219929,1188955.96494
2027,949092.967861,1211292.09943
2028,971475.959973,1231640.27407
2029,1000424.33733,1257956.98076
2030,1021379.46782,1277007.09939
2031,1050458.71421,1303442.77792
2032,1081623.82297,1331774.69498
2033,1110289.99112,1357834.84784
2034,1141868.17813,1386542.29058
2035,1165080.98229,1407644.83982
2036,1197893.28626,1437474.20706
2037,1222525.90982,1459867.50121
2038,1255714.00533,1490038.49712
