year,Base case diesel consumed,Pyramid creek hydroelectric project,Unalaska water treatment plant inline micro turbines,Unalaska (shaishnikof river)
2021,2881850.33663,2748613.51325,2867334.44888,2720412.92785
2022,2881786.93237,2748550.109,2867271.04462,2720349.5236
2023,2881723.52811,2748486.70474,2867207.64036,2720286.11934
2024,2881596.7196,2748359.89622,2867080.83184,2720159.31082
2025,2881469.91108,2748233.08771,2866954.02333,2720032.50231
2026,2881406.50682,2748169.68345,2866890.61907,2719969.09805
2027,2881279.69831,2748042.87493,2866763.81055,2719842.28953
2028,2881152.88979,2747916.06642,2866637.00204,2719715.48101
2029,2880962.67701,2747725.85364,2866446.78926,2719525.26824
2030,2880835.8685,2747599.04513,2866319.98075,2719398.45972
2031,2880645.65572,2747408.83235,2866129.76797,2719208.24695
2032,2880455.44295,2747218.61958,2865939.5552,2719018.03418
2033,2880328.63443,2747091.81106,2865812.74668,2718891.22566
2034,2880138.42166,2746901.59829,2865622.53391,2718701.01289
2035,2879948.20889,2746711.38551,2865432.32114,2718510.80011
2036,2879821.40037,2746584.577,2865305.51262,2718383.9916
2037,2879567.78334,2746330.95996,2865051.89559,2718130.37456
2038,2879377.57056,2746140.74719,2864861.68281,2717940.16179
2039,2879250.76205,2746013.93867,2864734.8743,2717813.35327
2040,2879060.54927,2745823.7259,2864544.66152,2717623.1405
2041,2878870.3365,2745633.51313,2864354.44875,2717432.92773
2042,2878680.12373,2745443.30035,2864164.23597,2717242.71495
2043,2878489.91095,2745253.08758,2863974.0232,2717052.50218
2044,2878299.69818,2745062.8748,2863783.81043,2716862.2894
2045,2878172.88966,2744936.06629,2863657.00191,2716735.48089
2046,2877982.67689,2744745.85351,2863466.78914,2716545.26811
2047,2877855.86837,2744619.045,2863339.98062,2716418.4596
2048,2877665.6556,2744428.83222,2863149.76785,2716228.24682
2049,2877602.25134,2744365.42797,2863086.36359,2716164.84256
2050,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2051,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2052,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2053,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2054,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2055,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2056,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2057,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2058,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2059,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2060,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2061,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2062,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2063,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2064,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2065,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2066,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2067,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2068,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2069,2877475.44282,2744238.61945,2862959.55507,2716038.03405
2070,2877475.44282,2744238.61945,2862959.55507,2716038.03405
