year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,2881786.93,17441.93,1765791.02,795721.63
2018,2881786.93,17453.85,1765791.02,796704.23
2019,2881850.34,17465.31,1765791.02,797686.83
2020,2881850.34,17470.61,1765791.02,797686.83
2021,2881850.34,17461.39,1765791.02,797686.83
2022,2881786.93,17441.19,1765791.02,795721.63
2023,2881723.53,17412.65,1765791.02,793756.43
2024,2881596.72,17374.35,1765791.02,790808.62
2025,2881469.91,17330.11,1765791.02,786878.22
2026,2881406.51,17295.96,1765791.02,784913.02
2027,2881279.7,17251.42,1765791.02,780982.61
2028,2881152.89,17197.99,1765791.02,777052.21
2029,2880962.68,17134.68,1765791.02,772139.2
2030,2880835.87,17067.21,1765791.02,767226.2
2031,2880645.66,17001.51,1765791.02,762313.19
2032,2880455.44,16934.44,1765791.02,756417.58
2033,2880328.63,16884.61,1765791.02,752487.18
2034,2880138.42,16821.82,1765791.02,748556.77
2035,2879948.21,16747.2,1765791.02,742661.17
2036,2879821.4,16681.43,1765791.02,737748.16
2037,2879567.78,16602.27,1765791.02,730869.95
2038,2879377.57,16523.07,1765791.02,724974.35
2039,2879250.76,16461.45,1765791.02,720061.34
2040,2879060.55,16393.44,1765791.02,715148.34
