year,Base case cost,Pyramid creek hydroelectric project,Unalaska water treatment plant inline micro turbines,Unalaska (shaishnikof river)
2021,7809814.41226,7827707.93798,7847461.46206,8538253.31743
2022,8069003.41063,8068637.48409,8103969.94516,8761633.7135
2023,8270546.52568,8254517.37404,8303131.59836,8930834.69267
2024,8414262.42122,8385162.23316,8444764.26583,9045662.50839
2025,8586780.33502,8543561.47701,8615100.26312,9188328.83946
2026,8817103.91087,8757502.93848,8843010.41178,9386357.01428
2027,8989592.65871,8916190.20426,9013381.62066,9529968.90425
2028,9133254.66063,9047415.7241,9155089.18583,9646692.82473
2029,9334319.07353,9233769.18943,9353965.41441,9818341.46999
2030,9477950.00736,9365259.04545,9495701.86776,9935942.10576
2031,9678969.40323,9551855.97451,9694591.63036,10108432.2412
2032,9908766.72375,9766158.05818,9922155.52738,10308659.5535
2033,10138756.7932,9980788.81803,10149939.7616,10509497.3218
2034,10397299.7022,10222893.1993,10406171.7364,10737827.3669
2035,10540610.4445,10354742.8822,10547726.0171,10857197.5214
2036,10799330.2514,10597280.3837,10804186.8936,11086491.8407
2037,10942357.5767,10729096.8667,10945508.5422,11206347.5007
2038,11171984.9738,10943998.2707,11173058.6442,11408768.791
2039,11373040.5101,11131657.6714,11372192.8549,11584449.0037
2040,11660195.2246,11401895.5066,11657053.4902,11842176.7664
2041,11659424.8628,11396440.2969,11655332.2757,11827009.7713
2042,11658654.5011,11391094.8883,11653633.3467,11812180.1973
2043,11657884.1394,11385856.7073,11651956.181,11797680.136
2044,11657113.7776,11380723.2409,11650300.2685,11783501.8646
2045,11656600.2031,11375948.8219,11648921.8984,11769894.6284
2046,11655829.8414,11371017.4793,11647307.0097,11756337.4876
2047,11655316.2669,11366440.4469,11645968.7018,11743336.8242
2048,11654545.9052,11361701.8646,11644392.9364,11730372.0396
2049,11654289.1179,11357569.8619,11643349.6221,11718206.6364
2050,11653775.5434,11353271.8973,11642067.9548,11706063.5541
2051,11653775.5434,11349576.2039,11641317.8642,11694706.6128
2052,11653775.5434,11345967.1283,11640585.3538,11683615.8499
2053,11653775.5434,11342442.6404,11639870.0116,11672785.0268
2054,11653775.5434,11339000.7577,11639171.4352,11662208.051
2055,11653775.5434,11335639.5441,11638489.2318,11651878.9731
2056,11653775.5434,11332357.1089,11637823.0175,11641791.983
2057,11653775.5434,11329151.6058,11637172.4175,11631941.4067
2058,11653775.5434,11326021.2318,11636537.066,11622321.7034
2059,11653775.5434,11322964.2258,11635916.6056,11612927.4617
2060,11653775.5434,11319978.8684,11635310.6872,11603753.3976
2061,11653775.5434,11317063.4803,11634718.97,11594794.3507
2062,11653775.5434,11314216.4217,11634141.1212,11586045.2814
2063,11653775.5434,11311436.0909,11633576.8157,11577501.2684
2064,11653775.5434,11308720.9242,11633025.7362,11569157.5058
2065,11653775.5434,11306069.3942,11632487.5725,11561009.3001
2066,11653775.5434,11303480.0094,11631962.0221,11553052.0679
2067,11653775.5434,11300951.3134,11631448.7892,11545281.3334
2068,11653775.5434,11298481.8836,11630947.5853,11537692.7254
2069,11653775.5434,11296070.3312,11630458.1283,11530281.9755
2070,11653775.5434,11293715.2995,11629980.143,11523044.9151
