year,Base case diesel consumed,Modeled solar power
2020,2881850.33663,2842109.17636
2021,2881850.33663,2842427.10565
2022,2881786.93237,2842679.08724
2023,2881723.52811,2842928.54574
2024,2881596.7196,2843112.09708
2025,2881469.91108,2843293.16555
2026,2881406.50682,2843535.17525
2027,2881279.69831,2843711.33739
2028,2881152.88979,2843885.07576
2029,2880962.67701,2843993.0055
2030,2880835.8685,2844161.95435
2031,2880645.65572,2844265.13289
2032,2880455.44295,2844365.9643
2033,2880328.63443,2844527.87162
2034,2880138.42166,2844624.06494
2035,2879948.20889,2844717.96702
2036,2879821.40037,2844873.00044
2037,2879567.78334,2844898.97061
2038,2879377.57056,2844986.10834
2039,2879250.76205,2845134.43152
