year,Base case cost,Modeled wind power
2019,7002896.318,7560242.30627
2020,7492810.87523,7827248.73604
2021,7809814.41226,7980976.18458
2022,8069003.41063,8097637.63713
2023,8270546.52568,8177370.74888
2024,8414262.42122,8219963.91004
2025,8586780.33502,8282877.98087
2026,8817103.91087,8385374.7959
2027,8989592.65871,8450637.42249
2028,9133254.66063,8497933.47188
2029,9334319.07353,8584326.39785
2030,9477950.00736,8633805.80534
2031,9678969.40323,8722316.23996
2032,9908766.72375,8830935.06099
2033,10138756.7932,8940765.57633
2034,10397299.7022,9070431.05685
2035,10540610.4445,9124687.86462
2036,10799330.2514,9256450.9513
2037,10942357.5767,9312300.03409
2038,11171984.9738,9426515.37948
