year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2003,,1.15,
2004,,1.53,
2005,,2.13,2.99
2006,,2.43,2.9
2008,,3.4,4.2
2009,,2.02,3.27
2010,,2.62,3.66
2011,,3.38,4.23
2012,,3.6,4.72
2013,,3.41,4.45
2014,,,4.57
2016,,1.48,2.2
2017,,1.81,2.53
2018,,2.07,2.79
2019,,2.43,3.15
2020,,2.6,3.32
2021,,2.71,3.43
2022,,2.8,3.52
2023,,2.87,3.59
2024,,2.92,3.64
2025,,2.98,3.7
2026,,3.06,3.78
2027,,3.12,3.84
2028,,3.17,3.89
2029,,3.24,3.96
2030,,3.29,4.01
2031,,3.36,4.08
2032,,3.44,4.16
2033,,3.52,4.24
2034,,3.61,4.33
2035,,3.66,4.38
2036,,3.75,4.47
2037,,3.8,4.52
2038,,3.88,4.6
2039,,3.95,4.67
2040,,4.05,4.77
