year,Base case diesel consumed,Modeled diesel efficiency
2019,2881850.33663,2619863.94239
2020,2881850.33663,2619863.94239
2021,2881850.33663,2619863.94239
2022,2881786.93237,2619806.30215
2023,2881723.52811,2619748.66192
2024,2881596.7196,2619633.38145
2025,2881469.91108,2619518.10098
2026,2881406.50682,2619460.46075
2027,2881279.69831,2619345.18028
2028,2881152.88979,2619229.89981
2029,2880962.67701,2619056.9791
2030,2880835.8685,2618941.69864
2031,2880645.65572,2618768.77793
2032,2880455.44295,2618595.85723
2033,2880328.63443,2618480.57676
2034,2880138.42166,2618307.65605
2035,2879948.20889,2618134.73535
2036,2879821.40037,2618019.45488
2037,2879567.78334,2617788.89394
2038,2879377.57056,2617615.97324
