year,Base case diesel consumed,Modeled wind power
2019,2881850.33663,1751950.22367
2020,2881850.33663,1751950.22367
2021,2881850.33663,1751950.22367
2022,2881786.93237,1751886.81941
2023,2881723.52811,1751823.41516
2024,2881596.7196,1751696.60664
2025,2881469.91108,1751569.79812
2026,2881406.50682,1751506.39387
2027,2881279.69831,1751379.58535
2028,2881152.88979,1751252.77683
2029,2880962.67701,1751062.56406
2030,2880835.8685,1750935.75554
2031,2880645.65572,1750745.54277
2032,2880455.44295,1750555.33
2033,2880328.63443,1750428.52148
2034,2880138.42166,1750238.30871
2035,2879948.20889,1750048.09593
2036,2879821.40037,1749921.28742
2037,2879567.78334,1749667.67038
2038,2879377.57056,1749477.45761
