year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,17441.9305526,11337.2548592
2018,17453.8528765,11345.0043698
2019,17465.3055414,11352.4486019
2020,17470.6148489,11355.8996518
2021,17461.3917153,11349.904615
2022,17441.1882752,11336.7723789
2023,17412.647036,11318.2205734
2024,17374.3509228,11293.3280998
2025,17330.1138914,11264.5740294
2026,17295.9583362,11242.3729185
2027,17251.424394,11213.4258561
2028,17197.9939202,11178.6960481
2029,17134.676312,11137.5396028
2030,17067.2127473,11093.6882858
2031,17001.5063556,11050.9791311
