year,Base case cost,Modeled solar power
2020,7492810.87523,7880863.5719
2021,7809814.41226,8184073.89415
2022,8069003.41063,8430557.42772
2023,8270546.52568,8620457.57083
2024,8414262.42122,8753568.17289
2025,8586780.33502,8915348.79039
2026,8817103.91087,9134427.89037
2027,8989592.65871,9296680.32433
2028,9133254.66063,9430717.87307
2029,9334319.07353,9621646.33732
2030,9477950.00736,9756109.39936
2031,9678969.40323,9947451.02068
2032,9908766.72375,10167434.1226
2033,10138756.7932,10387835.2715
2034,10397299.7022,10636654.5283
2035,10540610.4445,10771872.1448
2036,10799330.2514,11021294.9193
2037,10942357.5767,11156623.9966
2038,11171984.9738,11377706.7114
2039,11373040.5101,11570756.3782
