year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,44118.78,4466509.08,2106387.22,70520.06,14647305.21,2117591.24
2018,48686.94,4925614.75,2316131.4,73716.75,15300679.43,2214367.19
2019,55006.39,5561299.52,2606155.22,78127.22,16205351.43,2347747.68
2020,57993.12,5861483.99,2741761.98,80211.5,16632557.65,2409639.12
2021,59883.26,6055721.0,2829507.53,81501.0,16908985.2,2449686.51
2022,61383.68,6214642.19,2894151.63,82494.35,17135153.2,2477264.58
2023,62502.11,6338247.56,2942566.86,83203.12,17311061.64,2497454.78
2024,63233.37,6426537.11,2971179.37,83620.37,17436710.53,2507663.12
2025,64112.17,6532484.58,3003624.98,84125.96,17587489.2,2518697.49
2026,65369.49,6673747.86,3058916.57,84917.75,17788527.42,2542102.29
2027,66236.26,6779695.32,3090458.18,85414.2,17939306.08,2552786.67
2028,66891.02,6867984.87,3113757.63,85742.63,18064954.97,2559727.66
2029,67844.18,6991590.24,3148120.27,86254.7,18240863.41,2570846.24
2030,68430.42,7079879.79,3166450.56,86502.48,18366512.3,2574653.03
2031,69357.07,7203485.16,3199535.82,86990.4,18542420.75,2585277.05
2032,70438.23,7344748.44,3235304.54,87582.16,18743458.97,2596282.01
2033,71581.74,7486011.73,3278692.62,88257.66,18944497.19,2612657.55
2034,72829.52,7644932.92,3328937.4,88974.86,19170665.19,2632240.09
2035,73343.79,7733222.47,3339851.87,89155.47,19296314.07,2631965.43
2036,74557.1,7892143.66,3384154.72,89841.54,19522482.07,2648037.14
2037,75033.39,7980433.21,3389146.91,89984.97,19648130.96,2644259.27
2038,75997.33,8121696.49,3419806.1,90466.29,19849169.18,2653286.01
2039,76866.2,8245301.86,3447035.06,90923.08,20025077.63,2661642.69
2040,78187.95,8421880.97,3495030.64,91678.58,20276375.4,2679696.42
