year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,1765791.01824,1306685.3535
2018,1765791.01824,1306685.3535
2019,1765791.01824,1306685.3535
2020,1765791.01824,1306685.3535
2021,1765791.01824,1306685.3535
2022,1765791.01824,1306685.3535
2023,1765791.01824,1306685.3535
2024,1765791.01824,1306685.3535
2025,1765791.01824,1306685.3535
2026,1765791.01824,1306685.3535
2027,1765791.01824,1306685.3535
2028,1765791.01824,1306685.3535
2029,1765791.01824,1306685.3535
2030,1765791.01824,1306685.3535
2031,1765791.01824,1306685.3535
