year,Base case diesel consumed,Modeled solar power (pv)
2016,47185.8443076,46904.8440977
2017,47103.732417,46824.9802087
2018,47021.6205263,46745.0983357
2019,46939.5086356,46665.1986225
2020,46939.5086356,46667.3931026
2021,46857.396745,46587.4581362
2022,46775.2848543,46507.5057544
2023,46693.1729636,46427.5360966
2024,46528.9491823,46265.4374102
2025,46446.8372916,46185.4336137
2026,46364.725401,46105.4129524
2027,46282.6135103,46025.3755614
2028,46200.5016196,45945.3215743
2029,46036.2778383,45783.1392333
2030,45954.1659476,45703.0524515
2031,45872.054057,45622.9494688
2032,45789.9421663,45542.8304148
2033,45625.718385,45380.5835275
2034,45543.6064943,45300.4327157
2035,45461.4946036,45220.2662153
