year,Base case cost,Modeled solar power (pv)
2016,83518.9444245,85667.5721111
2017,102686.136669,104668.582644
2018,116613.618905,118463.415354
2019,136593.97013,138278.032165
2020,145981.871857,147565.886186
2021,152755.113389,154254.623871
2022,157164.95711,158595.144812
2023,160624.514995,161992.235046
2024,162851.322138,164163.269977
2025,166279.677504,167531.935469
2026,170158.542222,171349.882467
2027,173096.974529,174233.919432
2028,176023.911171,177107.727028
2029,179081.120791,180110.515132
2030,181059.413834,182043.172695
2031,185323.09839,186249.871969
2032,189112.461147,189986.000625
2033,192996.788768,193815.856841
2034,197203.81612,197969.640618
2035,199575.96131,200299.393835
