year,Base case cost,Bettles (jane creek)
2021,152755.113389,1026538.13387
2022,157164.95711,1007154.71451
2023,160624.514995,988097.126786
2024,162851.322138,969072.069012
2025,166279.677504,950875.594536
2026,170158.542222,933153.248741
2027,173096.974529,915724.747722
2028,176023.911171,898695.340369
2029,179081.120791,881790.257791
2030,181059.413834,865418.576573
2031,185323.09839,849680.097181
2032,189112.461147,834247.642039
2033,192996.788768,818867.912165
2034,197203.81612,804167.012915
2035,199575.96131,789606.680293
2036,203384.745992,775194.953887
2037,206181.124728,761323.242761
2038,210319.999211,747897.17695
2039,213541.432612,734683.809845
2040,217700.550139,721496.272421
2041,217302.30747,708529.109258
2042,216904.0648,695856.529873
2043,216505.82213,683471.630907
2044,216107.579461,671367.669091
2045,215709.336791,659538.060281
2046,215311.094121,647976.373629
2047,214912.851451,636676.33062
2048,214514.608782,625631.798276
2049,214116.366112,614836.788187
2050,213718.123442,604285.45263
