year,Base case cost,Modeled solar power (pv)
2016,451618.813421,484552.253739
2017,544671.816985,575566.632269
2018,614890.732369,644133.035002
2019,708824.725824,736138.01909
2020,758987.778407,785023.728362
2021,797179.604047,822134.403815
2022,828203.608206,852201.692412
2023,851597.728135,874760.621672
2024,872886.976782,895267.253602
2025,897086.782071,918670.228753
2026,924523.219929,945295.993246
2027,949092.967861,969106.108476
2028,971475.959973,990779.323968
2029,1000424.33733,1018971.38473
2030,1021379.46782,1039282.25441
2031,1050458.71421,1067639.21401
2032,1081623.82297,1098067.87941
2033,1110289.99112,1126045.30598
2034,1141868.17813,1156920.36144
2035,1165080.98229,1179537.02851
