year,Base case cost,Stebbins st michael wind energy final design and permitting,Modeled wind power
2017,544671.816985,821193.866012,
2018,614890.732369,864541.826206,
2019,708824.725824,925646.22754,875674.497633
2020,758987.778407,955527.949241,901375.81339
2021,797179.604047,977068.732319,919873.808192
2022,828203.608206,993695.994805,934143.849899
2023,851597.728135,1004943.04714,943719.066812
2024,872886.976782,1014959.13336,952296.661392
2025,897086.782071,1027384.01969,963064.362531
2026,924523.219929,1042539.47291,976343.767361
2027,949092.967861,1055689.21107,987850.29189
2028,971475.959973,1067509.0582,998259.598355
2029,1000424.33733,1084690.2688,1013584.98783
2030,1021379.46782,1096098.41385,1023821.53607
2031,1050458.71421,1113733.28126,1039613.28941
2032,1081623.82297,1132924.12867,1056741.22196
2033,1110289.99112,1150453.75203,1072439.84964
2034,1141868.17813,1170358.29732,1090293.31444
2035,1165080.98229,1184099.37985,1102666.82194
2036,1197893.28626,1205524.73516,1122052.3829
2037,1222525.90982,,1136136.7052
2038,1255714.00533,,1156182.23293
