year,Base case cost,Modeled solar power (pv)
2016,143347.356106,147537.152554
2017,171161.022216,174812.137267
2018,191486.393604,194721.587109
2019,219300.059715,222015.014021
2020,232137.136381,234563.722877
2021,241230.065686,243429.190282
2022,247648.604019,249664.111912
2023,252462.507769,254321.706881
2024,256206.65513,257928.521571
2025,261020.55888,262593.101291
2026,266904.219018,268315.741912
2027,271183.244574,272459.890065
2028,275462.270129,276607.219108
2029,280811.052074,281812.639053
2030,283485.443046,284383.604391
2031,289369.103184,290122.838755
2032,295252.763323,295865.342989
2033,301136.423462,301611.051254
2034,307020.0836,307359.89909
2035,311299.109156,311528.314391
