year,Base case cost,Modeled wind power
2019,219300.059715,
2020,232137.136381,
2021,241230.065686,
2022,247648.604019,
2023,252462.507769,
2024,256206.65513,
2025,261020.55888,
2026,266904.219018,
2027,271183.244574,
2028,275462.270129,
2029,280811.052074,
2030,283485.443046,
2031,289369.103184,
2032,295252.763323,
2033,301136.423462,
2034,307020.0836,
2035,311299.109156,
2036,317182.769294,
2037,320926.916655,
2038,327345.454989,
