year,annotation,line losses
2002,,0.17
2003,,0.18
2004,,0.19
2005,,0.24
2006,,0.26
2009,,-1.02
2010,,0.07
2011,,0.23
2012,,0.09
2013,,0.15
2014,,0.2
2015,,0.19
2016,start of forecast,0.18
2017,,0.18
2018,,0.18
2019,,0.18
2020,,0.18
2021,,0.18
2022,,0.18
2023,,0.18
2024,,0.18
2025,,0.18
2026,,0.18
2027,,0.18
2028,,0.18
2029,,0.18
2030,,0.18
2031,,0.18
2032,,0.18
2033,,0.18
2034,,0.18
2035,,0.18
2036,,0.18
2037,,0.18
2038,,0.18
2039,,0.18
2040,,0.18
