year,Base case diesel consumed,Modeled diesel efficiency
2019,53487.8194426,48625.2904023
2020,53487.8194426,48625.2904023
2021,53487.8194426,48625.2904023
2022,53487.8194426,48625.2904023
2023,53487.8194426,48625.2904023
2024,53487.8194426,48625.2904023
2025,53487.8194426,48625.2904023
2026,53487.8194426,48625.2904023
2027,53487.8194426,48625.2904023
2028,53487.8194426,48625.2904023
2029,53487.8194426,48625.2904023
2030,53487.8194426,48625.2904023
2031,53487.8194426,48625.2904023
2032,53487.8194426,48625.2904023
2033,53487.8194426,48625.2904023
2034,53487.8194426,48625.2904023
2035,53487.8194426,48625.2904023
2036,53487.8194426,48625.2904023
2037,53487.8194426,48625.2904023
2038,53487.8194426,48625.2904023
