year,Base case cost,Modeled biomass for heat (cordwood)
2017,283053.399038,347119.796507
2018,300357.399038,359914.621061
2019,324459.399038,377735.983834
2020,335583.399038,385961.228191
2021,343617.399038,391901.682448
2022,349179.399038,396014.304626
2023,353505.399038,399213.010765
2024,356595.399038,401497.800864
2025,360303.399038,404239.548983
2026,365247.399038,407895.213141
2027,369573.399038,411093.91928
2028,372663.399038,413378.709379
2029,377607.399038,417034.373538
2030,380079.399038,418862.205617
2031,385023.399038,422517.869775
2032,,
2033,,
2034,,
2035,,
2036,,
