year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,9090.41,283053.86,265828.02,10650.8,65828.67,73510.48
2018,9689.78,300357.89,291281.66,12159.32,74927.54,85687.3
2019,10497.93,324459.93,317863.85,14243.55,87600.95,101359.24
2020,10887.26,335583.94,333748.27,15221.96,93450.22,109384.47
2021,11177.13,343617.96,347212.29,15937.81,97674.69,115643.38
2022,11382.85,349179.97,358670.68,16438.89,100599.33,120459.53
2023,11554.48,353505.97,369156.84,16840.34,102874.04,124567.4
2024,11683.12,356595.98,378609.6,17133.36,104498.84,127940.76
2025,11832.24,360303.98,388762.56,17480.29,106448.6,131760.07
2026,12033.05,365247.99,400254.75,17945.52,109048.27,136445.05
2027,12208.46,369574.0,411291.41,18352.94,111322.99,140789.01
2028,12355.13,372664.0,428041.59,18665.94,112947.78,145883.11
2029,12547.05,377608.01,433153.85,19124.17,115547.46,149240.84
2030,12663.8,380080.02,449611.61,19374.84,116847.3,154063.87
2031,12863.86,385024.02,461919.35,19842.49,119446.97,159098.62
2032,,,474390.2,,,164203.31
2033,,,487024.16,,,169377.96
2034,,,500521.44,,,175068.51
2035,,,511360.63,,,179036.48
2036,,,532614.07,,,186644.5
