year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,106240.82,1984.74,61800.1,50650.55
2018,106459.42,1993.72,61800.1,52689.43
2019,106678.02,1999.55,61800.1,53708.86
2020,106823.76,2004.96,61800.1,54728.3
2021,106969.49,2010.22,61800.1,55747.74
2022,107115.23,2014.61,61800.1,56767.18
2023,107260.96,2019.96,61800.1,57786.62
2024,107406.7,2024.75,61800.1,58806.06
2025,107552.43,2029.49,61800.1,59825.5
2026,107698.17,2036.0,61800.1,60844.94
2027,107916.77,2041.5,61800.1,61864.38
2028,108135.37,2048.89,61800.1,63903.25
2029,108208.24,2053.48,61800.1,63903.25
2030,108426.84,2059.1,61800.1,65942.13
2031,108572.58,2064.77,61800.1,66961.57
2032,108718.31,,,67981.01
2033,108936.92,,,69000.45
2034,109082.65,,,70019.89
2035,109228.39,,,71039.33
2036,109519.86,,,73078.2
