year,Base case cost,Modeled non-residential energy efficiency
2017,1724478.36906,1696286.76281
2018,1791759.24178,1758989.57029
2019,1880875.5652,1843601.92485
2020,1922704.29557,1881091.31681
2021,1951802.3038,1905966.91461
2022,1973624.64723,1923674.60575
2023,1988175.1312,1934214.90736
2024,1999093.27937,1941219.82141
2025,2013642.91771,1951944.38557
2026,2031827.42874,1966388.96193
2027,2046379.18116,1977291.41375
2028,2059106.94359,1986458.68771
2029,2075476.34376,1999344.8535
2030,2084575.15291,2005049.91643
2031,2102760.50957,2019910.75478
