year,Base case cost,Modeled biomass for heat (cordwood)
2017,878647.65194,1024983.27759
2018,945603.22194,1071924.03288
2019,1034274.11194,1134981.56877
2020,1075895.14194,1163308.5328
2021,1104848.90194,1182326.519
2022,1126564.22194,1196048.33585
2023,1141041.10194,1204472.67006
2024,1151898.76194,1210274.34129
2025,1166375.64194,1218804.30151
2026,1184471.74194,1230061.32759
2027,1198948.62194,1238692.02063
2028,1211615.89194,1246033.26528
2029,1227902.38194,1256098.07574
2030,1236950.43194,1260857.03291
2031,1255046.53194,1272351.51045
2032,,
2033,,
2034,,
2035,,
2036,,
