year,Base case diesel consumed,Modeled residential energy efficiency
2017,33754.0145575,26468.2030742
2018,33754.0145575,26468.2030742
2019,33754.0145575,26468.2030742
2020,32679.9201905,25394.1087072
2021,32679.9201905,25394.1087072
2022,32679.9201905,25394.1087072
2023,31605.8258235,24320.0143403
2024,31605.8258235,24320.0143403
2025,30531.7314565,23245.9199733
2026,30531.7314565,23245.9199733
2027,30531.7314565,23245.9199733
2028,30531.7314565,23245.9199733
2029,30531.7314565,23245.9199733
2030,29457.6370895,22171.8256063
2031,29457.6370895,22171.8256063
